id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
SQ3081811,shop,SILVER ADJUSTABLE SNAKE RING,One size fits most!,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457505474-CCFZSOLATNNP9KPWXHSE/silver+snake+ringg.JPG,20.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1585855302507-M3L579HVH7PFDER2DC48/MeganWilsonJewelry2020-0938.jpg,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ5731166,shop,GOLD ADJUSTABLE SNAKE RING,One size fits most!,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457529530-YQ85VGR5T88WAXH4LSTT/gold+snake+ringg.JPG,20.00 USD,in stock,new,188,,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1590422211626-DHU6HBA81S9JSHYSOH4T/gold+snake+ring.jpg,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,,
SQ8627651,shop,MIAMI NECKLACE,This necklace is 15 inches and has a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627525585876-GYI69V7E0L8RGM7ZALUM/IMG_0015.JPG,15.00 USD,out of stock,new,188,Necklaces,,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ6799558,shop,BUTTERFLY RING,One size fits most,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457458954-TMGEC9LHPB7OTOGXY7P4/butterfly+ring+2.JPG,17.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627525653592-QBNDKMRGEHSK11DZ8NB4/IMG_7594.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ8548145,shop,OBX NECKLACE,This necklace is 15 inches and has a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627525794963-Z6GRDO6XYU91SWIP98G4/IMG_0017.JPG,15.00 USD,out of stock,new,188,Necklaces,,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ5984713,shop,SNAKE PENDANT,This gold-plated necklace is 16 inches and has a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640458081752-MWID1IFXYT7HCYBZ28X9/snake+pendant.JPG,17.00 USD,in stock,new,188,Necklaces,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527039621-NU8KLPTNPVE3EIK9N3UV/IMG_8873+2.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ9267815,shop,CHUNKY OPEN HOOP EARRINGS,,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527149946-7Z41BMS821A61B8FJCFU/IMG_7595.JPG,20.00 USD,in stock,new,188,Earrings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1634431566989-Z0YPVN98APOVPO4KJTKO/Madelyn+Cline+x+MWJ.jpeg,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Earrings,
SQ6263111,shop,SIMPLE STACK NECKLACE,This necklace is 14 inches with a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527288647-FQHK7VS3IEDMR04ZAPLQ/IMG_0920.JPG,15.00 USD,in stock,new,188,Necklaces,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527288293-B7G2UTBBVWPNOK7LOVUB/IMG_0922.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ5310191,shop,BUTTERFLY NECKLACE,This necklace is 15 inches and has a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457814766-KKO77OOIEZS2WMP5OPPC/butterfly+necklace.JPG,22.00 USD,in stock,new,188,Necklaces,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1627527989749-32PBSA3F15360N6G84HI/IMG_8871.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ7659794,shop,CHAIN LINK NECKLACE,This necklace is 16 inches with a lobster clasp closure.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1639444381588-E75THBFS1U3F4BCEOR7D/3B8DBF1E-F90E-402E-A321-E3A1C5C1E7A1,17.00 USD,in stock,new,188,Necklaces,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1628859415172-U7JMESYF1NFX7JM8GOV7/IMG_9309.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ7401189,shop,U SMILE RING,This ring is adjustable with an open back one size fits most.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758283887-6DL6EQYTNZ2CYJR6I36L/IMG_2159.JPG,19.00 USD,out of stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758293249-CH7XXUY8A89YGOAT0B49/IMG_2161.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ2590783,shop,GOLD DOUBLE BAR RING,One size fits all,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758808055-PWRJ4JX1Q89N39F0KCFV/IMG_2169.JPG,21.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629758813139-TA0ERW5PJEWSPO3ZU51U/IMG_2168.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ7511745,shop,BUTTERFLIES RING,Open back ring one size fits most,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640458130903-2G3TP1S8YM60MMNL9IOC/butterflies+ring+3.JPG,19.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759447210-4VX8JZ5BU533OM8CFZAW/IMG_2162.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ2003951,shop,SMILES ALL AROUND RING,One size fits all,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457483822-C13HMCB44DIZRRB4CJU4/smiles+all+around+ring.JPG,15.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759582535-T6AB2Z7L05KWBHFPKBQV/IMG_2164.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ0892703,shop,HEART TO HEART RING,One size fits most!,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640458196113-VWG4Q2EYPMTNR4ATMNPZ/heart+2+heart+ring.JPG,19.00 USD,in stock,new,188,Rings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1629759731663-O5KEPMURDWHKO4QCTL5Y/IMG_2167.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Rings,
SQ9721514,shop,LOVE BRACELET,This slider bracelet is 8 inches.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457783887-CBHLV6GYNSPAGCJ6APDC/love+bracelet+4.JPG,15.00 USD,in stock,new,188,,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1630944311256-SFPCVADECG7BMQK6FGAG/104F852A-67FD-40EB-9105-67E818E81A94,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,,
SQ9996679,shop,KEY TO MY HEART NECKLACE,This sterling silver necklace is 16 inches.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1640457656735-ZTFEYURNPL0JVYMSXII2/key+to+my+heart.JPG,15.00 USD,in stock,new,188,Necklaces,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1637416503604-BJ0LKARZ2HGPPVQMSQYE/key+necklaces.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Necklaces,
SQ2919946,shop,PEARL EARRINGS,Choose from small or large earrings.,https://www.meganwilsonco.com,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1637416628849-522GPC6WO45ZVGNG5OQ3/pearl+earrings+2.JPG,18.00 USD,in stock,new,188,Earrings,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1637416632587-AYZUTCIIVK4QNTHWM195/pearl+earrings+4.JPG,,Megan Wilson Jewelry,women,young adult,one size,regular,USPS 4-day,Earrings,
